"Código Departamento","Código Municipio","Código Centro Poblado","Nombre Departamento","Nombre Municipio","Nombre Centro Poblado","Tipo Centro Poblado","Longitud","Latitud","Nombre Distrito","Municipio/Áreas No Municipalizadas (ANM)","Nombre Área Metropolitana"
"05","05038","05038008","ANTIOQUIA","ANGOSTURA","LLANOS DE CUIBA","CENTRO POBLADO","-75.487459","6.812975","","MUNICIPIO",""
"05","05040","05040000","ANTIOQUIA","ANORÍ","ANORÍ","CABECERA MUNICIPAL","-75.148355","7.074703","","MUNICIPIO",""
"05","05040","05040002","ANTIOQUIA","ANORÍ","LIBERIA","CENTRO POBLADO","-74.999434","7.381356","","MUNICIPIO",""
"05","05042","05042000","ANTIOQUIA","SANTA FÉ DE ANTIOQUIA","SANTA FÉ DE ANTIOQUIA","CABECERA MUNICIPAL","-75.826648","6.556484","","MUNICIPIO",""
"05","05042","05042002","ANTIOQUIA","SANTA FÉ DE ANTIOQUIA","LAURELES","CENTRO POBLADO","-75.947975","6.490919","","MUNICIPIO",""
"05","05042","05042006","ANTIOQUIA","SANTA FÉ DE ANTIOQUIA","EL PESCADO","CENTRO POBLADO","-75.91043","6.495648","","MUNICIPIO",""
"05","05042","05042007","ANTIOQUIA","SANTA FÉ DE ANTIOQUIA","SABANAS","CENTRO POBLADO","-75.912663","6.460609","","MUNICIPIO",""
"05","05042","05042008","ANTIOQUIA","SANTA FÉ DE ANTIOQUIA","KILOMETRO 2","CENTRO POBLADO","-75.846441","6.560421","","MUNICIPIO",""
"05","05042","05042009","ANTIOQUIA","SANTA FÉ DE ANTIOQUIA","PASO REAL","CENTRO POBLADO","-75.819659","6.520831","","MUNICIPIO",""
"05","05044","05044000","ANTIOQUIA","ANZÁ","ANZÁ","CABECERA MUNICIPAL","-75.854442","6.302641","","MUNICIPIO",""
"05","05044","05044001","ANTIOQUIA","ANZÁ","GUINTAR","CENTRO POBLADO","-75.956132","6.30209","","MUNICIPIO",""
"05","05044","05044005","ANTIOQUIA","ANZÁ","LA CEJITA","CENTRO POBLADO","-75.911027","6.326701","","MUNICIPIO",""
"05","05044","05044006","ANTIOQUIA","ANZÁ","LA HIGUINA","CENTRO POBLADO","-75.850989","6.367318","","MUNICIPIO",""
"05","05045","05045000","ANTIOQUIA","APARTADÓ","APARTADÓ","CABECERA MUNICIPAL","-76.625135","7.883257","","MUNICIPIO",""
"05","05045","05045001","ANTIOQUIA","APARTADÓ","SAN JOSÉ DE APARTADÓ","CENTRO POBLADO","-76.562246","7.883894","","MUNICIPIO",""
"05","05045","05045002","ANTIOQUIA","APARTADÓ","CHURIDÓ","CENTRO POBLADO","-76.668837","7.864565","","MUNICIPIO",""
"05","05045","05045003","ANTIOQUIA","APARTADÓ","ZUNGO CARRETERA","CENTRO POBLADO","-76.649045","7.823743","","MUNICIPIO",""
"05","05045","05045009","ANTIOQUIA","APARTADÓ","EL REPOSO","CENTRO POBLADO","-76.653891","7.799491","","MUNICIPIO",""
"05","05045","05045010","ANTIOQUIA","APARTADÓ","BAJO DEL OSO","CENTRO POBLADO","-76.6253","7.910059","","MUNICIPIO",""
"05","05045","05045011","ANTIOQUIA","APARTADÓ","EL SALVADOR","CENTRO POBLADO","-76.648605","7.878334","","MUNICIPIO",""
"05","05045","05045014","ANTIOQUIA","APARTADÓ","PUERTO GIRÓN","CENTRO POBLADO","-76.737183","7.905166","","MUNICIPIO",""
"05","05045","05045015","ANTIOQUIA","APARTADÓ","LOMA VERDE","CENTRO POBLADO","-76.643607","7.823986","","MUNICIPIO",""
"05","05045","05045016","ANTIOQUIA","APARTADÓ","SAN PABLO","CENTRO POBLADO","-76.714702","7.897865","","MUNICIPIO",""
"05","05045","05045017","ANTIOQUIA","APARTADÓ","LA ESMERALDA","CENTRO POBLADO","","","","MUNICIPIO",""
"05","05045","05045018","ANTIOQUIA","APARTADÓ","SAL SI PUEDES","CENTRO POBLADO","","","","MUNICIPIO",""
"05","05051","05051000","ANTIOQUIA","ARBOLETES","ARBOLETES","CABECERA MUNICIPAL","-76.426708","8.849317","","MUNICIPIO",""
"05","05051","05051001","ANTIOQUIA","ARBOLETES","BUENOS AIRES","CENTRO POBLADO","-76.282648","8.611246","","MUNICIPIO",""
"05","05051","05051003","ANTIOQUIA","ARBOLETES","EL CARMELO","CENTRO POBLADO","-76.381608","8.616307","","MUNICIPIO",""
"05","05051","05051005","ANTIOQUIA","ARBOLETES","LAS NARANJITAS","CENTRO POBLADO","-76.333453","8.529288","","MUNICIPIO",""
"05","05051","05051008","ANTIOQUIA","ARBOLETES","EL YESO","CENTRO POBLADO","-76.475696","8.616279","","MUNICIPIO",""
"05","05051","05051009","ANTIOQUIA","ARBOLETES","LA TRINIDAD","CENTRO POBLADO","-76.510261","8.625491","","MUNICIPIO",""
"05","05051","05051010","ANTIOQUIA","ARBOLETES","LAS PLATAS (SANTAFÉ)","CENTRO POBLADO","-76.440354","8.581424","","MUNICIPIO",""
"05","05051","05051011","ANTIOQUIA","ARBOLETES","LA CANDELARIA","CENTRO POBLADO","-76.450294","8.657619","","MUNICIPIO",""
"05","05051","05051014","ANTIOQUIA","ARBOLETES","EL GUADUAL","CENTRO POBLADO","-76.384497","8.486778","","MUNICIPIO",""
"05","05051","05051017","ANTIOQUIA","ARBOLETES","LA ATOYOSA","CENTRO POBLADO","","","","MUNICIPIO",""
"05","05051","05051019","ANTIOQUIA","ARBOLETES","SAN JOSÉ DEL CARMELO","CENTRO POBLADO","","","","MUNICIPIO",""
"05","05051","05051020","ANTIOQUIA","ARBOLETES","CANIME","CENTRO POBLADO","","","","MUNICIPIO",""
"05","05055","05055000","ANTIOQUIA","ARGELIA","ARGELIA","CABECERA MUNICIPAL","-75.141741","5.730672","","MUNICIPIO",""
"05","05059","05059000","ANTIOQUIA","ARMENIA","ARMENIA","CABECERA MUNICIPAL","-75.787072","6.155889","","MUNICIPIO",""
"05","05059","05059001","ANTIOQUIA","ARMENIA","LA HERRADURA","CENTRO POBLADO","-75.806938","6.146038","","MUNICIPIO",""
"05","05059","05059003","ANTIOQUIA","ARMENIA","EL SOCORRO","CENTRO POBLADO","-75.785122","6.146176","","MUNICIPIO",""
"05","05059","05059006","ANTIOQUIA","ARMENIA","FILO SECO","CENTRO POBLADO","-75.811939","6.142616","","MUNICIPIO",""
"05","05059","05059009","ANTIOQUIA","ARMENIA","PALMICHAL","CENTRO POBLADO","-75.807008","6.159839","","MUNICIPIO",""
"05","05079","05079000","ANTIOQUIA","BARBOSA","BARBOSA","CABECERA MUNICIPAL","-75.331627","6.439195","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079001","ANTIOQUIA","BARBOSA","HATILLO","CENTRO POBLADO","-75.392108","6.410173","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079005","ANTIOQUIA","BARBOSA","PLATANITO","CENTRO POBLADO","-75.406864","6.405181","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079008","ANTIOQUIA","BARBOSA","ISAZA","CENTRO POBLADO","-75.362101","6.420168","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079014","ANTIOQUIA","BARBOSA","POPALITO","CENTRO POBLADO","-75.284275","6.47285","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079016","ANTIOQUIA","BARBOSA","YARUMITO","CENTRO POBLADO","-75.303734","6.457457","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079017","ANTIOQUIA","BARBOSA","TABLAZO - HATILLO","CENTRO POBLADO","-75.413305","6.418865","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079018","ANTIOQUIA","BARBOSA","EL PARAISO","CENTRO POBLADO","-75.414866","6.413142","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079019","ANTIOQUIA","BARBOSA","EL SALADITO","CENTRO POBLADO","-75.401845","6.407348","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079020","ANTIOQUIA","BARBOSA","LOMITA 1","CENTRO POBLADO","-75.406986","6.41825","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079021","ANTIOQUIA","BARBOSA","LOMITA 2","CENTRO POBLADO","-75.407773","6.415728","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079022","ANTIOQUIA","BARBOSA","LA PRIMAVERA","CENTRO POBLADO","-75.406364","6.413749","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079023","ANTIOQUIA","BARBOSA","TAMBORCITO","CENTRO POBLADO","-75.311817","6.451623","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05086","05086000","ANTIOQUIA","BELMIRA","BELMIRA","CABECERA MUNICIPAL","-75.667779","6.606319","","MUNICIPIO",""
"05","05086","05086001","ANTIOQUIA","BELMIRA","LABORES","CENTRO POBLADO","-75.612503","6.709708","","MUNICIPIO",""
"05","05086","05086003","ANTIOQUIA","BELMIRA","RÍO ARRIBA","CENTRO POBLADO","-75.671585","6.613094","","MUNICIPIO",""
"05","05088","05088000","ANTIOQUIA","BELLO","BELLO","CABECERA MUNICIPAL","-75.555245","6.333587","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05088","05088008","ANTIOQUIA","BELLO","POTRERITO","CENTRO POBLADO","-75.579602","6.331692","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05088","05088013","ANTIOQUIA","BELLO","SAN FÉLIX","CENTRO POBLADO","-75.608548","6.340434","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05088","05088018","ANTIOQUIA","BELLO","EL PINAR","CENTRO POBLADO","-75.530891","6.301595","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05088","05088020","ANTIOQUIA","BELLO","EL ALBERGUE","CENTRO POBLADO","-75.536494","6.306904","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05088","05088022","ANTIOQUIA","BELLO","LA CHINA","CENTRO POBLADO","-75.614714","6.398128","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05088","05088023","ANTIOQUIA","BELLO","LA UNIÓN","CENTRO POBLADO","-75.621225","6.38243","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05091","05091000","ANTIOQUIA","BETANIA","BETANIA","CABECERA MUNICIPAL","-75.975655","5.744735","","MUNICIPIO",""
"05","05091","05091003","ANTIOQUIA","BETANIA","SAN LUIS","CENTRO POBLADO","-75.986423","5.7535","","MUNICIPIO",""
"05","05093","05093000","ANTIOQUIA","BETULIA","BETULIA","CABECERA MUNICIPAL","-75.984452","6.115208","","MUNICIPIO",""
"05","05093","05093001","ANTIOQUIA","BETULIA","ALTAMIRA","CENTRO POBLADO","-75.949285","6.21962","","MUNICIPIO",""
"05","05101","05101000","ANTIOQUIA","CIUDAD BOLÍVAR","CIUDAD BOLÍVAR","CABECERA MUNICIPAL","-76.021509","5.850273","","MUNICIPIO",""
"05","05101","05101002","ANTIOQUIA","CIUDAD BOLÍVAR","SAN BERNARDO DE LOS FARALLONES","CENTRO POBLADO","-76.029314","5.799984","","MUNICIPIO",""
"05","05101","05101006","ANTIOQUIA","CIUDAD BOLÍVAR","ALFONSO LÓPEZ (SAN GREGORIO)","CENTRO POBLADO","-75.957061","5.895614","","MUNICIPIO",""
"05","05101","05101008","ANTIOQUIA","CIUDAD BOLÍVAR","VILLA ALEGRÍA","CENTRO POBLADO","-76.01367","5.783321","","MUNICIPIO",""
"05","05101","05101010","ANTIOQUIA","CIUDAD BOLÍVAR","EL CABRERO - BOLÍVAR ARRIBA","CENTRO POBLADO","-76.035653","5.865983","","MUNICIPIO",""
"05","05107","05107000","ANTIOQUIA","BRICEÑO","BRICEÑO","CABECERA MUNICIPAL","-75.54813","7.114883","","MUNICIPIO",""
"05","05107","05107001","ANTIOQUIA","BRICEÑO","BERLÍN (PUEBLO NUEVO)","CENTRO POBLADO","-75.625932","7.10759","","MUNICIPIO",""
